ID,fips_code,year,deck_cond,superstructure_cond,channel_cond,culvert_cond
001385,01,1936,5,5,N,N
001386,01,1936,6,7,8,N
001387,01,1936,6,6,7,N
001389,01,1936,5,6,6,N
001390,01,1936,5,5,N,N
001391,01,1936,6,5,N,N
001392,01,1936,7,5,N,N
001393,01,1936,6,5,N,N
001394,01,1936,3,5,5,N
001396,01,1936,7,5,N,N
001397,01,1936,N,N,6,6
001398,01,1936,N,N,6,6
001399,01,1936,5,5,N,N
001401,01,1936,N,N,6,7
001403,01,1936,N,N,5,6
001404,01,1936,6,5,5,N
001405,01,1936,6,5,5,N
001407,01,1936,N,N,6,7
001408,01,1936,4,5,7,N
001409,01,1936,6,6,6,N
001411,01,1936,6,7,6,N
001412,01,1936,N,N,6,6
001413,01,1936,7,7,6,N
001414,01,1936,N,N,6,5
001415,01,1936,N,N,7,7
001416,01,1936,7,6,6,N
001421,01,1936,6,6,5,N
001422,01,1936,4,4,4,N
001424,01,1936,N,N,7,5
001425,01,1936,N,N,6,5
001427,01,1936,5,5,6,N
001428,01,1936,5,5,7,N
001429,01,1936,5,6,6,N
001433,01,1936,N,N,5,6
001434,01,1936,3,3,5,N
001435,01,1936,6,4,7,N
001436,01,1936,5,5,6,N
001437,01,1936,6,5,6,N
001438,01,1936,5,6,5,N
001440,01,1936,5,5,N,N
001441,01,1936,5,5,N,N
001442,01,1936,5,5,4,N
001443,01,1936,6,7,6,N
001444,01,1936,N,N,6,5
001448,01,1936,8,7,6,N
001452,01,1936,N,N,6,6
